antecedents,consequents,support,lift,confidence
(then,one),(for),0.012658,5.115108,1.000000
(then,one),(for),0.012658,5.288430,0.900000
 (will,tell),(you),0.036568,11.411111,0.962963
(tell,you),(will),0.036568,12.679012,0.962963
(tell,you),(will),0.036568,12.679012,0.962963
 (tell,will),(you),0.036568,11.411111,0.962963
(tell,you),(will),0.036568,13.693333,0.962963
 (will,tell),(you),0.036568,11.804598,0.962963
(tell,about),(will),0.022504,12.392157,0.941176
(tell,about),(will),0.022504,12.392157,0.941176
(tell,about),(will),0.022504,13.383529,0.941176
(will,tell,about),(you),0.021097,11.109375,0.937500
 (tell,about,you),(will),0.021097,13.166667,1.000000
(will,about,tell),(you),0.021097,11.109375,0.937500
 (tell,about,you),(will),0.021097,13.166667,1.000000
(will,tell,about),(you),0.021097,11.492457,0.937500
 (tell,about,you),(will),0.021097,14.220000,1.000000
 (by,tell),(will),0.019691,12.288889,0.933333
 (tell,by),(will),0.019691,12.288889,0.933333
 (by,tell),(will),0.019691,13.272000,0.933333
(by,tell,you),(will),0.018284,13.166667,1.000000
 (by,tell,will),(you),0.018284,11.003571,0.928571
 (will,by,tell),(you),0.018284,11.003571,0.928571
(tell,by,you),(will),0.018284,13.166667,1.000000
 (by,will,tell),(you),0.018284,11.383005,0.928571
(by,tell,you),(will),0.018284,14.220000,1.000000
 (by,tell,me),(you),0.014065,10.772727,0.909091
 (by,tell,me),(will),0.014065,11.969697,0.909091
 (tell,by,me),(you),0.014065,10.772727,0.909091
 (by,tell,me),(you),0.014065,11.144201,0.909091
 (tell,by,me),(will),0.014065,11.969697,0.909091
 (by,tell,me),(will),0.014065,12.927273,0.909091
 (by,will,me,tell),(you),0.014065,11.850000,1.000000
(by,will,you,me),(tell),0.014065,20.850440,0.909091
(by,tell,you,me),(will),0.014065,13.166667,1.000000
 (by,tell,me),(will,you),0.014065,19.586777,0.909091
 (by,will,tell,me),(you),0.014065,11.850000,1.000000
(by,will,me,you),(tell),0.014065,20.850440,0.909091
(by,tell,me,you),(will),0.014065,13.166667,1.000000
 (tell,by,me),(will,you),0.014065,19.586777,0.909091
 (by,will,me,tell),(you),0.014065,12.258621,1.000000
(by,will,you,me),(tell),0.014065,20.850440,0.909091
(by,tell,you,me),(will),0.014065,14.220000,1.000000
 (by,tell,me),(will,you),0.014065,20.198864,0.909091
 (will,tell,me),(you),0.018284,11.850000,1.000000
(tell,you,me),(will),0.018284,13.166667,1.000000
 (will,me,tell),(you),0.018284,11.850000,1.000000
(will,you,me),(tell),0.018284,21.297235,0.928571
(tell,you,me),(will),0.018284,13.166667,1.000000
 (will,tell,me),(you),0.018284,12.258621,1.000000
(tell,you,me),(will),0.018284,14.220000,1.000000
 (tell,said),(me),0.018284,19.418067,0.928571
 (tell,said),(will),0.018284,12.226190,0.928571
 (tell,said),(you),0.018284,11.003571,0.928571
 (tell,said),(me),0.018284,19.418067,0.928571
 (tell,said),(me),0.018284,20.631696,0.928571
 (tell,said),(will),0.018284,12.226190,0.928571
 (tell,said),(will),0.018284,13.204286,0.928571
 (will,tell,me),(said),0.016878,17.271255,0.923077
 (will,tell,said),(me),0.016878,19.303167,0.923077
 (tell,me,said),(will),0.016878,12.153846,0.923077
 (will,me,tell),(said),0.016878,17.271255,0.923077
 (will,said,tell),(me),0.016878,19.303167,0.923077
 (tell,me,said),(will),0.016878,12.153846,0.923077
 (will,tell,me),(said),0.016878,18.230769,0.923077
 (will,tell,said),(me),0.016878,20.509615,0.923077
 (tell,me,said),(will),0.016878,13.126154,0.923077
 (will,tell,said),(you),0.018284,11.850000,1.000000
(will,you,said),(tell),0.018284,21.297235,0.928571
(tell,you,said),(will),0.018284,13.166667,1.000000
 (tell,said),(will,you),0.018284,20.006494,0.928571
 (tell,said),(you),0.018284,11.003571,0.928571
 (tell,said),(you),0.018284,11.383005,0.928571
(tell,you,me),(said),0.016878,17.271255,0.923077
(tell,you,said),(me),0.016878,19.303167,0.923077
 (tell,me,said),(you),0.016878,10.938462,0.923077
(you,me,said),(tell),0.016878,21.171216,0.923077
 (will,said,tell),(you),0.018284,11.850000,1.000000
(will,you,said),(tell),0.018284,21.297235,0.928571
(tell,you,said),(will),0.018284,13.166667,1.000000
 (tell,said),(will,you),0.018284,20.006494,0.928571
 (will,tell,said),(you),0.018284,12.258621,1.000000
(will,you,said),(tell),0.018284,21.297235,0.928571
(tell,you,said),(will),0.018284,14.220000,1.000000
 (tell,said),(will,you),0.018284,20.631696,0.928571
(will,tell,you,me),(said),0.016878,17.271255,0.923077
 (will,tell,me,said),(you),0.016878,11.850000,1.000000
(will,tell,you,said),(me),0.016878,19.303167,0.923077
(will,you,me,said),(tell),0.016878,21.171216,0.923077
(tell,you,me,said),(will),0.016878,13.166667,1.000000
 (will,tell,me),(you,said),0.016878,43.753846,0.923077
 (will,tell,said),(you,me),0.016878,41.019231,0.923077
(tell,you,me),(will,said),0.016878,36.461538,0.923077
 (tell,me,said),(will,you),0.016878,19.888112,0.923077
(tell,you,said),(will,me),0.016878,38.606335,0.923077
(you,me,said),(will,tell),0.016878,24.307692,0.923077
(tell,you,me),(said),0.016878,17.271255,0.923077
 (tell,me,said),(you),0.016878,10.938462,0.923077
(tell,you,said),(me),0.016878,19.303167,0.923077
(you,me,said),(tell),0.016878,21.171216,0.923077
(tell,you,me),(said),0.016878,18.230769,0.923077
 (tell,me,said),(you),0.016878,11.315650,0.923077
(tell,you,said),(me),0.016878,20.509615,0.923077
(you,me,said),(tell),0.016878,21.171216,0.923077
(will,tell,me,you),(said),0.016878,17.271255,0.923077
 (will,tell,me,said),(you),0.016878,11.850000,1.000000
(will,tell,you,said),(me),0.016878,19.303167,0.923077
(will,me,you,said),(tell),0.016878,21.171216,0.923077
(tell,me,you,said),(will),0.016878,13.166667,1.000000
 (will,me,tell),(you,said),0.016878,43.753846,0.923077
 (will,said,tell),(you,me),0.016878,41.019231,0.923077
(tell,you,me),(will,said),0.016878,36.461538,0.923077
 (tell,me,said),(will,you),0.016878,19.888112,0.923077
(tell,you,said),(will,me),0.016878,38.606335,0.923077
(you,me,said),(will,tell),0.016878,24.307692,0.923077
(will,tell,you,me),(said),0.016878,18.230769,0.923077
 (will,tell,me,said),(you),0.016878,12.258621,1.000000
(will,tell,you,said),(me),0.016878,20.509615,0.923077
(will,you,me,said),(tell),0.016878,21.171216,0.923077
(tell,you,me,said),(will),0.016878,14.220000,1.000000
 (will,tell,me),(you,said),0.016878,43.753846,0.923077
 (will,tell,said),(you,me),0.016878,43.753846,0.923077
(tell,you,me),(will,said),0.016878,36.461538,0.923077
 (tell,me,said),(will,you),0.016878,20.509615,0.923077
(tell,you,said),(will,me),0.016878,43.753846,0.923077
(you,me,said),(will,tell),0.016878,24.307692,0.923077
 (by,tell,me),(said),0.014065,17.009569,0.909091
 (by,tell,said),(me),0.014065,20.911765,1.000000
 (by,tell,said),(you),0.012658,10.665000,0.900000
 (by,tell,said),(will),0.012658,11.850000,0.900000
 (tell,by,me),(said),0.014065,17.009569,0.909091
 (tell,by,said),(me),0.014065,20.911765,1.000000
 (by,tell,me),(said),0.014065,17.954545,0.909091
 (by,tell,said),(me),0.014065,22.218750,1.000000
(by,tell,you,me),(said),0.012658,16.839474,0.900000
 (by,tell,me,said),(you),0.012658,10.665000,0.900000
(by,tell,you,said),(me),0.012658,20.911765,1.000000
(by,you,me,said),(tell),0.012658,20.641935,0.900000
 (by,tell,said),(you,me),0.012658,39.993750,0.900000
 (by,will,me,tell),(said),0.012658,16.839474,0.900000
 (by,will,said,tell),(me),0.012658,20.911765,1.000000
 (by,tell,me,said),(will),0.012658,11.850000,0.900000
 (by,tell,said),(will,me),0.012658,37.641176,0.900000
 (tell,by,said),(you),0.012658,10.665000,0.900000
 (by,tell,said),(you),0.012658,11.032759,0.900000
 (tell,by,said),(will),0.012658,11.850000,0.900000
 (by,tell,said),(will),0.012658,12.798000,0.900000
 (by,will,said,tell),(you),0.012658,11.850000,1.000000
(by,will,you,said),(tell),0.012658,20.641935,0.900000
(by,tell,you,said),(will),0.012658,13.166667,1.000000
 (by,tell,said),(will,you),0.012658,19.390909,0.900000
(by,tell,me,you),(said),0.012658,16.839474,0.900000
 (by,tell,me,said),(you),0.012658,10.665000,0.900000
(by,tell,you,said),(me),0.012658,20.911765,1.000000
(by,me,you,said),(tell),0.012658,20.641935,0.900000
 (tell,by,said),(you,me),0.012658,39.993750,0.900000
(by,tell,you,me),(said),0.012658,17.775000,0.900000
 (by,tell,me,said),(you),0.012658,11.032759,0.900000
(by,tell,you,said),(me),0.012658,22.218750,1.000000
(by,you,me,said),(tell),0.012658,20.641935,0.900000
 (by,tell,said),(you,me),0.012658,42.660000,0.900000
 (by,will,tell,me),(said),0.012658,16.839474,0.900000
 (by,will,tell,said),(me),0.012658,20.911765,1.000000
 (by,tell,me,said),(will),0.012658,11.850000,0.900000
 (tell,by,said),(will,me),0.012658,37.641176,0.900000
 (by,will,me,tell),(said),0.012658,17.775000,0.900000
 (by,will,said,tell),(me),0.012658,22.218750,1.000000
 (by,tell,me,said),(will),0.012658,12.798000,0.900000
 (by,tell,said),(will,me),0.012658,42.660000,0.900000
(by,will,tell,me,you),(said),0.012658,16.839474,0.900000
 (by,will,tell,me,said),(you),0.012658,11.850000,1.000000
(by,will,tell,you,said),(me),0.012658,20.911765,1.000000
(by,will,me,you,said),(tell),0.012658,20.641935,0.900000
(by,tell,me,you,said),(will),0.012658,13.166667,1.000000
 (by,will,me,tell),(you,said),0.012658,42.660000,0.900000
 (by,will,said,tell),(you,me),0.012658,44.437500,1.000000
(by,will,you,said),(tell,me),0.012658,42.660000,0.900000
(by,tell,you,me),(will,said),0.012658,35.550000,0.900000
 (by,tell,me,said),(will,you),0.012658,19.390909,0.900000
(by,tell,you,said),(will,me),0.012658,41.823529,1.000000
(by,you,me,said),(will,tell),0.012658,23.700000,0.900000
 (by,tell,said),(will,you,me),0.012658,42.660000,0.900000
 (by,will,tell,said),(you),0.012658,11.850000,1.000000
(by,will,you,said),(tell),0.012658,20.641935,0.900000
(by,tell,you,said),(will),0.012658,13.166667,1.000000
 (tell,by,said),(will,you),0.012658,19.390909,0.900000
 (by,will,said,tell),(you),0.012658,12.258621,1.000000
(by,will,you,said),(tell),0.012658,20.641935,0.900000
(by,tell,you,said),(will),0.012658,14.220000,1.000000
 (by,tell,said),(will,you),0.012658,19.996875,0.900000
(by,will,tell,me,you),(said),0.012658,16.839474,0.900000
 (by,will,tell,me,said),(you),0.012658,11.850000,1.000000
(by,will,tell,you,said),(me),0.012658,20.911765,1.000000
(by,will,me,you,said),(tell),0.012658,20.641935,0.900000
